Transaction_ID,Date,Store_Location,Department,Product_Name,Quantity_Sold,Unit_Price,Total_Sales,Discount_Percentage,Discounted_Sales,Customer_Segment,Inventory_Level,Restock_Days
WLMRT-00001,12/15/2023,"Phoenix, AZ",Paint,Primers,8,303.34,2426.72,0,2426.72,Renovation Enthusiast,224,17
WLMRT-00002,4/10/2023,"Seattle, WA",Building Materials,Cement,3,20.09,60.27,5,57.26,Professional Contractor,423,44
WLMRT-00003,10/4/2023,"Atlanta, GA",Appliances,Dishwashers,6,13.46,80.76,0,80.76,DIY Homeowner,68,34
WLMRT-00004,9/28/2023,"New York, NY",Flooring,Laminate,3,197.41,592.23,0,592.23,Property Manager,140,43
WLMRT-00005,1/21/2023,"Atlanta, GA",Building Materials,Insulation,2,474.95,949.9,0,949.9,Property Manager,274,32
WLMRT-00006,12/6/2023,"Houston, TX",Garden Center,Outdoor Furniture,7,308.9,2162.3,0,2162.3,Property Manager,215,23
WLMRT-00007,12/26/2023,"Houston, TX",Flooring,Laminate,6,111.89,671.34,0,671.34,,200,24
WLMRT-00008,6/11/2023,"Chicago, IL",Appliances,Washers,4,302.97,1211.88,0,1211.88,Property Manager,471,29
WLMRT-00009,7/9/2023,"Seattle, WA",Flooring,Hardwood,2,274.45,548.9,0,548.9,Property Manager,261,35
WLMRT-00010,3/6/2023,"Atlanta, GA",Paint,Primers,9,388.4,3495.6,0,3495.6,Property Manager,72,17
WLMRT-00011,6/12/2023,"Dallas, TX",Building Materials,Lumber,5,463.89,2319.45,0,2319.45,Professional Contractor,144,15
WLMRT-00012,2/2/2023,"Seattle, WA",Plumbing,Shower Systems,7,337.73,2364.11,5,2245.9,DIY Homeowner,369,28
WLMRT-00013,8/15/2023,"Los Angeles, CA",Building Materials,Insulation,3,382.78,1148.34,0,1148.34,Professional Contractor,407,33
WLMRT-00014,1/15/2023,"Chicago, IL",Home Improvement,Hand Tools,3,25.4,76.2,0,76.2,Renovation Enthusiast,105,10
WLMRT-00015,8/19/2023,"Los Angeles, CA",Lighting,Bulbs,4,472,1888,0,1888,Renovation Enthusiast,95,34
WLMRT-00016,2/14/2023,"New York, NY",Appliances,Refrigerators,5,437.02,2185.1,0,2185.1,Property Manager,349,36
WLMRT-00017,5/8/2023,"Chicago, IL",Lighting,Bulbs,9,165.82,1492.38,0,1492.38,DIY Homeowner,292,19
WLMRT-00018,12/25/2023,"New York, NY",Home Improvement,Workbenches,9,,2228.13,0,2228.13,DIY Homeowner,181,30
WLMRT-00019,6/9/2023,"Seattle, WA",Paint,Paint Supplies,9,207.88,1870.92,20,1496.74,Professional Contractor,61,18
WLMRT-00020,4/23/2023,"Los Angeles, CA",Lighting,Ceiling Fans,8,28.07,224.56,20,179.65,DIY Homeowner,229,29
WLMRT-00021,8/13/2023,"Atlanta, GA",Garden Center,Outdoor Furniture,2,270.16,540.32,20,432.26,Professional Contractor,425,10
WLMRT-00022,7/3/2023,"Dallas, TX",Paint,Interior Paint,6,190.21,1141.26,20,913.01,Property Manager,479,17
WLMRT-00023,5/24/2023,"Atlanta, GA",Paint,Interior Paint,6,350.95,2105.7,0,2105.7,Renovation Enthusiast,452,42
WLMRT-00024,5/27/2023,"Houston, TX",Building Materials,Cement,7,95.44,668.08,0,668.08,DIY Homeowner,48,24
WLMRT-00025,9/24/2023,"Houston, TX",Plumbing,Pipes,9,112.45,1012.05,10,910.84,Renovation Enthusiast,108,13
WLMRT-00026,12/12/2023,"Seattle, WA",Flooring,Hardwood,4,269.53,1078.12,20,862.5,Professional Contractor,263,18
WLMRT-00027,6/9/2023,"Dallas, TX",Garden Center,Outdoor Furniture,9,146.65,1319.85,5,1253.86,Renovation Enthusiast,140,26
WLMRT-00028,4/30/2023,"Atlanta, GA",Plumbing,Toilets,4,51.23,204.92,5,194.67,Property Manager,113,26
WLMRT-00029,4/22/2023,"New York, NY",Lighting,Ceiling Fans,3,487.1,1461.3,0,1461.3,Professional Contractor,347,8
WLMRT-00030,7/27/2023,"Los Angeles, CA",Lighting,Ceiling Fans,4,358.97,1435.88,0,1435.88,DIY Homeowner,313,26
WLMRT-00031,5/15/2023,"Dallas, TX",Plumbing,Pipes,1,275.84,275.84,0,275.84,Renovation Enthusiast,384,28
WLMRT-00032,2/7/2023,"New York, NY",Lighting,Ceiling Fans,3,447.1,1341.3,0,1341.3,Renovation Enthusiast,286,36
